iter	Passed	Remaining
694	1970	864
695	1972	861
696	1974	858
697	1976	855
698	1979	852
699	1982	849
700	1984	846
701	1987	843
702	1989	840
703	1991	837
704	1993	834
705	1996	831
706	1999	828
707	2001	825
708	2003	822
709	2006	819
710	2008	816
711	2011	813
712	2013	810
713	2015	807
714	2018	804
715	2020	801
716	2022	798
717	2025	795
718	2027	792
719	2029	789
720	2032	786
721	2034	783
722	2037	780
723	2040	777
724	2043	775
725	2046	772
726	2048	769
727	2050	766
728	2052	762
729	2054	760
730	2057	757
731	2060	754
732	2064	751
733	2067	749
734	2070	746
735	2073	743
736	2076	740
737	2079	738
738	2081	735
739	2083	732
740	2089	730
741	2092	727
742	2097	725
743	2102	723
744	2106	720
745	2109	718
746	2111	715
747	2114	712
748	2118	709
749	2120	706
750	2123	704
751	2125	701
752	2128	698
753	2131	695
754	2134	692
755	2136	689
756	2139	686
757	2141	683
758	2143	680
759	2147	678
760	2150	675
761	2152	672
762	2154	669
763	2157	666
764	2159	663
765	2163	660
766	2165	657
767	2167	654
768	2169	651
769	2171	648
770	2173	645
771	2175	642
772	2178	639
773	2181	637
774	2184	634
775	2187	631
776	2191	629
777	2194	626
778	2197	623
779	2199	620
780	2201	617
781	2203	614
782	2207	611
783	2209	608
784	2212	605
785	2215	603
786	2217	600
787	2219	597
788	2224	594
789	2226	591
790	2229	589
791	2232	586
792	2234	583
793	2237	580
794	2240	577
795	2243	575
796	2246	572
797	2248	569
798	2251	566
799	2254	563
800	2256	560
801	2258	557
802	2261	554
803	2263	551
804	2265	548
805	2269	546
806	2271	543
807	2274	540
808	2276	537
809	2279	534
810	2282	531
811	2286	529
812	2288	526
813	2290	523
814	2292	520
815	2296	517
816	2299	514
817	2301	512
818	2304	509
819	2306	506
820	2309	503
821	2312	500
822	2314	497
823	2317	494
824	2319	492
825	2322	489
826	2325	486
827	2328	483
828	2331	480
829	2333	477
830	2335	475
831	2338	472
832	2341	469
833	2344	466
834	2346	463
835	2348	460
836	2351	458
837	2355	455
838	2358	452
839	2360	449
840	2363	446
841	2365	443
842	2367	440
843	2370	438
844	2373	435
845	2375	432
846	2378	429
847	2380	426
848	2383	424
849	2386	421
850	2388	418
851	2391	415
852	2394	412
853	2396	409
854	2400	407
855	2402	404
856	2404	401
857	2407	398
858	2409	395
859	2411	392
860	2414	389
861	2417	387
862	2420	384
863	2422	381
864	2425	378
865	2429	375
866	2432	373
867	2434	370
868	2437	367
869	2440	364
870	2442	361
871	2445	358
872	2447	356
873	2450	353
874	2452	350
875	2455	347
876	2457	344
877	2461	341
878	2464	339
879	2467	336
880	2470	333
881	2473	330
882	2476	328
883	2478	325
884	2481	322
885	2483	319
886	2485	316
887	2487	313
888	2490	310
889	2492	308
890	2494	305
891	2497	302
892	2500	299
893	2502	296
894	2505	293
895	2507	291
896	2510	288
897	2512	285
898	2514	282
899	2516	279
900	2519	276
901	2522	274
902	2524	271
903	2526	268
904	2528	265
905	2530	262
906	2534	259
907	2537	257
908	2539	254
909	2541	251
910	2544	248
911	2546	245
912	2551	243
913	2554	240
914	2557	237
915	2560	234
916	2562	231
917	2566	229
918	2568	226
919	2571	223
920	2574	220
921	2576	217
922	2578	215
923	2581	212
924	2584	209
925	2586	206
926	2589	203
927	2591	201
928	2593	198
929	2598	195
930	2600	192
931	2603	189
932	2605	187
933	2606	184
934	2609	181
935	2611	178
936	2613	175
937	2615	172
938	2618	170
939	2620	167
940	2622	164
941	2625	161
942	2627	158
943	2631	156
944	2634	153
945	2636	150
946	2639	147
947	2642	144
948	2644	142
949	2647	139
950	2649	136
951	2651	133
952	2654	130
953	2657	128
954	2659	125
955	2661	122
956	2663	119
957	2665	116
958	2667	114
959	2669	111
960	2672	108
961	2674	105
962	2677	102
963	2679	100
964	2683	97
965	2687	94
966	2689	91
967	2692	89
968	2694	86
969	2697	83
970	2699	80
971	2702	77
972	2704	75
973	2706	72
974	2709	69
975	2711	66
976	2714	63
977	2718	61
978	2721	58
979	2723	55
980	2725	52
981	2728	50
982	2730	47
983	2733	44
984	2735	41
985	2738	38
986	2740	36
987	2743	33
988	2747	30
989	2750	27
990	2752	25
991	2755	22
992	2758	19
993	2760	16
994	2763	13
995	2765	11
996	2768	8
997	2770	5
998	2773	2
999	2775	0
